Hash: 4367842355060344, From: 28, To: 43, Side: 0
Hash: 9573823435567829, From: 26, To: 35, Side: 0
Hash: 12745892718785428, From: 1, To: 18, Side: 0
Hash: 77740573749735020, From: 9, To: 17, Side: 0
Hash: 100300014406436329, From: 6, To: 21, Side: 0
Hash: 174867683900012985, From: 1, To: 18, Side: 0
Hash: 177029294229949839, From: 1, To: 18, Side: 0
Hash: 192493314980466520, From: 61, To: 54, Side: 0
Hash: 239694213709815223, From: 50, To: 42, Side: 0
Hash: 283630925501852478, From: 49, To: 33, Side: 0
Hash: 307684907797730260, From: 6, To: 21, Side: 0
Hash: 311069088630687024, From: 1, To: 11, Side: 0
Hash: 327560920771376088, From: 60, To: 62, Side: 0
Hash: 332021457048867220, From: 35, To: 27, Side: 0
Hash: 363635363463448445, From: 9, To: 17, Side: 0
Hash: 429015158680756049, From: 13, To: 21, Side: 0
Hash: 496682816653694775, From: 1, To: 18, Side: 0
Hash: 503107204839833922, From: 5, To: 19, Side: 0
Hash: 506337766393936861, From: 12, To: 20, Side: 0
Hash: 540885560043319403, From: 5, To: 14, Side: 0
Hash: 545581789201423783, From: 26, To: 35, Side: 0
Hash: 552383368490044918, From: 62, To: 45, Side: 0
Hash: 591233072237731301, From: 6, To: 21, Side: 0
Hash: 593554859683857857, From: 11, To: 27, Side: 0
Hash: 597913082804037600, From: 61, To: 52, Side: 0
Hash: 676263886554791405, From: 26, To: 35, Side: 0
Hash: 688040287057647991, From: 51, To: 35, Side: 0
Hash: 699289452022167436, From: 62, To: 45, Side: 0
Hash: 715652844186963953, From: 10, To: 18, Side: 0
Hash: 719659596325170162, From: 35, To: 27, Side: 0
Hash: 752711416389465483, From: 26, To: 35, Side: 0
Hash: 763627348583508750, From: 1, To: 18, Side: 0
Hash: 778926109349474783, From: 4, To: 6, Side: 0
Hash: 787012794115040148, From: 61, To: 52, Side: 0
Hash: 810388519119408984, From: 36, To: 21, Side: 0
Hash: 818505782450270799, From: 60, To: 62, Side: 0
Hash: 864440794171704664, From: 5, To: 19, Side: 0
Hash: 910394760010949918, From: 6, To: 21, Side: 0
Hash: 913322903157399417, From: 11, To: 27, Side: 0
Hash: 915752828671683407, From: 1, To: 18, Side: 0
Hash: 940471265408531962, From: 5, To: 14, Side: 0
Hash: 957688942596196850, From: 6, To: 21, Side: 0
Hash: 963016508803942307, From: 28, To: 36, Side: 0
Hash: 1043599757127044770, From: 45, To: 35, Side: 0
Hash: 1072514618456502067, From: 26, To: 35, Side: 0
Hash: 1073748870166664530, From: 11, To: 27, Side: 0
Hash: 1075462277936436564, From: 11, To: 27, Side: 0
Hash: 1076799591147264771, From: 14, To: 22, Side: 0
Hash: 1077874551144046946, From: 1, To: 18, Side: 0
Hash: 1083797879745872863, From: 1, To: 18, Side: 0
Hash: 1086425661531699177, From: 11, To: 27, Side: 0
Hash: 1312434072814380335, From: 59, To: 45, Side: 0
Hash: 1326817818996018015, From: 60, To: 62, Side: 0
Hash: 1327542639919286407, From: 11, To: 19, Side: 0
Hash: 1478589190949971286, From: 6, To: 21, Side: 0
Hash: 1563079061542861390, From: 11, To: 27, Side: 0
Hash: 1592338336920083599, From: 11, To: 27, Side: 0
Hash: 1617829354373664366, From: 62, To: 45, Side: 0
Hash: 1728065729388015717, From: 11, To: 27, Side: 0
Hash: 1761733096229253571, From: 12, To: 20, Side: 0
Hash: 1841064699184824933, From: 1, To: 18, Side: 0
Hash: 1889418739676691432, From: 12, To: 20, Side: 0
Hash: 1945119722149574122, From: 61, To: 52, Side: 0
Hash: 1951327953652118536, From: 60, To: 62, Side: 0
Hash: 1993304989348969040, From: 51, To: 43, Side: 0
Hash: 1995881936334331857, From: 5, To: 12, Side: 0
Hash: 2037459072680362056, From: 21, To: 36, Side: 0
Hash: 2044663840553395862, From: 34, To: 27, Side: 0
Hash: 2082011611273234744, From: 10, To: 18, Side: 0
Hash: 2144712371418304477, From: 51, To: 35, Side: 0
Hash: 2210902621768647443, From: 6, To: 21, Side: 0
Hash: 2226656393011163251, From: 1, To: 18, Side: 0
Hash: 2290079638176240802, From: 11, To: 19, Side: 0
Hash: 2318932571464188588, From: 25, To: 52, Side: 0
